Abbreviation,TeamName,GridPosition,DriverPointsBefore,TeamPointsBefore,AvgFinishLast3,Podium
18,7,1.0,0.0,0.0,,1
28,11,3.0,25.0,1.0,,1
23,8,4.0,18.0,2.0,,1
2,8,16.0,15.0,3.0,,0
0,12,6.0,12.0,7.0,,0
26,3,13.0,10.0,5.0,,0
12,6,17.0,8.0,6.0,,0
15,4,7.0,6.0,7.0,,0
21,7,2.0,4.0,8.0,,0
11,4,8.0,2.0,10.0,,0
9,2,9.0,1.0,18.0,,0
27,10,5.0,0.0,11.0,,0
19,5,19.0,0.0,12.0,,0
3,5,20.0,0.0,13.0,,0
14,11,18.0,0.0,27.0,,0
4,6,15.0,0.0,17.0,,0
1,3,12.0,0.0,23.0,,0
24,12,10.0,0.0,23.0,,0
8,2,14.0,0.0,23.0,,0
10,10,11.0,0.0,30.0,,0
21,7,1.0,0.0,32.0,9.0,1
18,7,3.0,27.0,11.0,1.0,1
23,8,2.0,43.0,13.0,3.0,1
28,11,4.0,30.0,10.0,2.0,0
19,5,11.0,30.0,21.0,13.0,0
2,8,8.0,10.0,32.0,4.0,0
0,12,10.0,20.0,16.0,5.0,0
3,5,17.0,16.0,30.0,14.0,0
26,3,14.0,4.0,40.0,6.0,0
24,12,15.0,10.0,32.0,18.0,0
10,10,7.0,1.0,40.0,20.0,0
14,11,20.0,0.0,43.0,15.0,0
8,2,18.0,0.0,33.0,19.0,0
4,6,19.0,0.0,43.0,16.0,0
12,6,12.0,0.0,37.0,7.0,0
27,10,9.0,6.0,52.0,12.0,0
1,3,13.0,0.0,59.0,17.0,0
15,4,6.0,0.0,49.0,8.0,0
11,4,5.0,4.0,36.0,10.0,0
9,2,16.0,1.0,55.0,11.0,0
28,11,1.0,0.0,63.0,3.0,1
18,7,2.0,55.0,34.0,1.5,1
21,7,3.0,61.0,15.0,5.0,1
15,4,4.0,42.0,18.0,13.0,0
23,8,5.0,16.0,59.0,3.0,0
2,8,6.0,40.0,21.0,5.0,0
11,4,8.0,28.0,27.0,14.5,0
10,10,7.0,7.0,66.0,15.5,0
0,12,9.0,4.0,67.0,6.0,0
3,5,10.0,18.0,49.0,11.0,0
1,3,12.0,5.0,50.0,17.0,0
27,11,14.0,0.0,60.0,14.0,0
9,2,11.0,0.0,46.0,15.5,0
24,12,15.0,0.0,76.0,14.0,0
8,2,19.0,1.0,63.0,16.0,0
12,6,16.0,0.0,91.0,11.0,0
14,10,13.0,6.0,68.0,13.5,0
19,5,18.0,0.0,84.0,9.0,0
4,6,17.0,10.0,68.0,15.0,0
26,3,20.0,0.0,87.0,7.5,0
21,7,1.0,10.0,80.0,4.333333333333333,1
23,8,3.0,67.0,19.0,3.6666666666666665,1
18,7,6.0,58.0,29.0,1.6666666666666667,1
15,4,2.0,76.0,22.0,10.0,0
11,4,9.0,28.0,70.0,12.0,0
28,11,7.0,17.0,75.0,2.3333333333333335,0
9,2,4.0,63.0,52.0,14.666666666666666,0
19,5,14.0,6.0,98.0,12.0,0
27,11,10.0,14.0,76.0,13.333333333333334,0
3,5,20.0,2.0,61.0,10.666666666666666,0
2,8,5.0,6.0,86.0,5.333333333333333,0
0,12,15.0,28.0,40.0,7.0,0
10,10,12.0,18.0,75.0,13.0,0
8,2,11.0,4.0,97.0,15.666666666666666,0
1,3,13.0,0.0,112.0,15.0,0
14,10,17.0,0.0,95.0,14.666666666666666,0
26,3,19.0,0.0,113.0,11.666666666666666,0
4,6,18.0,10.0,112.0,16.333333333333332,0
24,12,8.0,0.0,105.0,14.0,0
12,6,16.0,1.0,94.0,12.666666666666666,0
